coupon_date,coupon_usd,btc_price,btc_bought,btc_cumulative
2021-07-15,1990.2912621359221,31857.0,0.06247579063113043,0.06247579063113043
2022-01-15,1990.2912621359221,43091.0,0.04618809640379481,0.10866388703492524
2022-07-15,1990.2912621359221,20816.0,0.09561353104034984,0.20427741807527508
2023-01-15,1990.2912621359221,21196.0,0.0938993801724817,0.2981767982477568
2023-07-15,1990.2912621359221,30343.0,0.06559309435902587,0.36376989260678266
2024-01-15,1990.2912621359221,42508.0,0.04682156916664915,0.4105914617734318
2024-07-15,1990.2912621359221,64882.0,0.030675553499212756,0.44126701527264456
2025-01-15,1990.2912621359221,100490.0,0.01980586388830652,0.4610728791609511
2025-07-15,1990.2912621359221,117830.0,0.016891209896765867,0.4779640890577169
2026-01-15,1990.2912621359221,95509.0,0.020838782336072226,0.49880287139378915
